author_uid,article_uid
0000-0001-7162-4425,10.1016/j.neuron.2019.03.027
0000-0001-9080-8502,10.1016/j.neuron.2019.03.027
0000-0002-8251-8860,10.1016/j.neuron.2019.03.027
0000-0003-3546-7228,10.1371/journal.pcbi.1006753
0000-0002-3632-4176,10.1371/journal.pcbi.1006753
0000-0002-3149-4934,10.1371/journal.pcbi.1006753
0000-0002-2915-720X,10.1371/journal.pcbi.1006753
0000-0001-5157-247X,10.1371/journal.pcbi.1006753
0000-0002-4684-0027,10.1523/ENEURO.0471-18.2019
0000-0002-8013-4812,10.1523/ENEURO.0471-18.2019
0000-0001-9804-608X,10.1016/j.celrep.2019.01.074
0000-0003-1385-4980,10.1016/j.celrep.2019.01.074
0000-0002-6645-107X,10.1101/2020.05.31.126466
0000-0002-8070-0378,10.1101/2020.05.31.126466
0000-0003-3455-2367,10.1101/2020.05.31.126466
0000-0002-2270-1989,10.1016/j.jtbi.2019.110123
0000-0003-3280-6255,10.1016/j.jtbi.2019.110123
0000-0002-6678-320X,10.1016/j.jtbi.2019.110123
0000-0001-7130-0375,10.1038/s41467-019-13932-6
0000-0002-9537-5571,10.1038/s41467-019-13932-6
0000-0002-8070-0378,10.1038/s41467-019-13932-6
0000-0002-1756-801X,10.1038/s41467-019-13932-6
0000-0003-3377-9359,10.1038/s41467-019-11630-x
0000-0003-4309-8266,10.1038/s41467-019-11630-x
0000-0002-9452-4926,10.1038/s41467-019-11633-8
0000-0003-4309-8266,10.1038/s41467-019-11633-8
0000-0003-3280-6255,10.3389/fninf.2018.00084
0000-0002-3149-4934,10.1007/s12021-018-9404-y
0000-0002-4097-9191,10.1007/s12021-018-9404-y
0000-0001-5157-247X,10.1007/s12021-018-9404-y
0000-0003-3280-6255,10.3389/fnana.2018.00083
0009-0008-2629-7451,10.3389/fnins.2018.00664
0000-0003-1239-4871,10.3389/fnins.2018.00664
0000-0003-4856-0835,10.3389/fnins.2018.00664
0000-0003-2752-3525,10.3389/fnins.2018.00664
0000-0002-5167-0851,10.3389/fnins.2018.00664
0000-0002-5763-3031,10.1371/journal.pcbi.1006423
0000-0002-5086-2560,10.1371/journal.pcbi.1006423
0000-0001-9034-7849,10.1371/journal.pcbi.1006423
0000-0002-7280-9285,10.1371/journal.pcbi.1006423
0000-0002-2915-720X,10.1371/journal.pcbi.1006423
0000-0003-4309-8266,10.1371/journal.pcbi.1006423
0000-0001-6388-4286,10.1371/journal.pcbi.1006423
0000-0002-6263-1356,10.1371/journal.pcbi.1006392
0000-0002-2270-1989,10.1371/journal.pcbi.1006392
0000-0003-4856-0835,10.1371/journal.pcbi.1006392
0000-0003-3280-6255,10.1371/journal.pcbi.1006392
0000-0003-1365-5340,10.3389/fncel.2018.00181
0000-0002-6697-0179,10.3389/fncel.2018.00181
0000-0002-5585-1166,10.3389/fncel.2018.00181
0000-0001-7279-9630,10.3389/fncel.2018.00181
0000-0002-8500-1795,10.3389/fncel.2018.00181
0000-0003-3288-9820,10.3389/fncel.2018.00181
0000-0001-5484-0660,10.3389/fncel.2018.00181
0000-0002-1268-6180,10.1016/j.tcb.2018.01.009
0000-0002-2168-0004,10.1016/j.tcb.2018.01.009
0000-0001-5509-0996,10.1016/j.tcb.2018.01.009
0000-0002-9537-5571,10.7554/eLife.16553
0000-0003-1365-5340,10.7554/eLife.16553
0000-0002-6697-0179,10.7554/eLife.16553
0000-0002-5585-1166,10.7554/eLife.16553
0000-0001-7279-9630,10.7554/eLife.16553
0000-0002-8500-1795,10.7554/eLife.16553
0000-0003-3288-9820,10.7554/eLife.16553
0000-0001-5484-0660,10.7554/eLife.16553
0000-0001-6872-2366,10.3389/fninf.2016.00017
0000-0001-7279-9630,10.3389/fninf.2016.00017
0000-0002-2915-720X,10.3389/fninf.2016.00017
0000-0003-4309-8266,10.3389/fninf.2016.00017
0000-0001-7279-9630,10.1093/cercor/bhu200
0000-0002-3100-4800,10.1152/jn.00628.2014
0000-0001-5756-3769,10.1152/jn.00628.2014
0000-0001-6482-8067,10.1152/jn.00628.2014
0000-0002-1619-8328,10.1038/nrn3578
0000-0001-6482-8067,10.1038/nrn3578
0000-0002-0745-596X,10.1073/pnas.1202128109
0000-0001-8055-860X,10.1073/pnas.1202128109
