article_uid_source,article_uid_target
38645618,31121126
38470935,31121126
38408099,31121126
38410682,31121126
38228893,31121126
38032904,31121126
38025966,31121126
37399421,31121126
37196986,31121126
37011110,31121126
37064716,31121126
36567262,31121126
36607908,31121126
36421877,31121126
36335218,31121126
36031184,31121126
35974119,31121126
35960767,31121126
34875019,31121126
35792600,31121126
35832575,31121126
35645755,31121126
35545713,31121126
35486347,31121126
35392282,31121126
35217544,31121126
35300490,31121126
35281294,31121126
36926112,31121126
35078946,31121126
35126034,31121126
35471542,31121126
35471540,31121126
35471536,31121126
34910260,31121126
34764188,31121126
34728257,31121126
34506834,31121126
34282528,31121126
34211095,31121126
34183826,31121126
34552436,31121126
34149388,31121126
33941783,31121126
33828151,31121126
33798190,31121126
33616035,31121126
33513130,31121126
35330974,31121126
33343294,31121126
33253147,31121126
33170856,31121126
33154719,31121126
32733226,31121126
32155141,31121126
32092054,31121126
31637330,31121126
31440172,31121126
37989589,31095552
37937368,31095552
37925640,31095552
38035193,31095552
37293354,31095552
37211984,31095552
36867532,31095552
36561092,31095552
36213546,31095552
35560186,31095552
35452457,31095552
35256527,31095552
34879058,31095552
34566583,31095552
34220477,31095552
33828151,31095552
33509950,31095552
31941884,31095552
37296598,30957014
35203366,30957014
34539376,30957014
37074484,30858799
36505514,30858799
36299900,30858799
36015236,30858799
35516806,30858799
35046787,30858799
34884667,30858799
34867256,30858799
34276331,30858799
33462293,30858799
34367370,30858799
33101001,30858799
32858884,30858799
32553709,30858799
32296300,30858799
38626210,30759388
38168772,30759388
37523562,30759388
37449083,30759388
36546946,30759388
36097958,30759388
35362411,30759388
35356050,30759388
35434280,30759388
34756987,30759388
33494860,30759388
33046549,30759388
32393820,30759388
32096758,30759388
38394339,29949998
38425804,29949998
37770830,29949998
37133688,29949998
36867532,29949998
36434788,29949998
36387589,29949998
35017415,29949998
35650191,29949998
35247136,29949998
34647039,29949998
34252950,29949998
34091730,29949998
33689515,29949998
33613346,29949998
33192345,29949998
32848636,29949998
32657395,29949998
31440153,29949998
38626210,31941884
38437226,31941884
36627284,31941884
36421877,31941884
36341568,31941884
35960767,31941884
34709562,31941884
34346782,31941884
34211095,31941884
33629031,31941884
33494860,31941884
38378961,31467291
38162973,31467291
37941679,31467291
37781146,31467291
36567262,31467291
36006873,31467291
35516798,31467291
35263736,31467291
35471542,31467291
33472826,31467291
31728676,31467291
38645618,31439838
38466752,31439838
38164559,31439838
37907640,31439838
37847724,31439838
36995938,31439838
36376444,31439838
35831173,31439838
35145021,31439838
35100254,31439838
35020728,31439838
35471542,31439838
34630046,31439838
34539774,31439838
35116084,31439838
34131136,31439838
32600967,31439838
32056104,31439838
32413398,31439838
32181420,31439838
38719802,30546301
38644974,30546301
38287907,30546301
38409116,30546301
38274499,30546301
38174734,30546301
38036784,30546301
37943864,30546301
37943858,30546301
37847729,30546301
37841684,30546301
37749256,30546301
37563104,30546301
37409647,30546301
37519888,30546301
37339758,30546301
37269832,30546301
37332477,30546301
37252963,30546301
37217724,30546301
37198601,30546301
37265780,30546301
37196598,30546301
37234419,30546301
37138199,30546301
37195696,30546301
37239183,30546301
37090478,30546301
36970659,30546301
37007642,30546301
36867532,30546301
36819109,30546301
35511680,30546301
36693103,30546301
36602951,30546301
36542673,30546301
36313803,30546301
36227942,30546301
36213546,30546301
36138085,30546301
36067234,30546301
35974119,30546301
36925717,30546301
36050222,30546301
36013204,30546301
35907928,30546301
35966957,30546301
35792992,30546301
35720733,30546301
35191503,30546301
34782573,30546301
35613054,30546301
35547660,30546301
35516798,30546301
35363567,30546301
35301768,30546301
35346832,30546301
35322200,30546301
35273325,30546301
36031901,30546301
35471541,30546301
36776149,30546301
35024534,30546301
34831469,30546301
34858137,30546301
34739479,30546301
34737414,30546301
34644582,30546301
34387659,30546301
34393747,30546301
34311067,30546301
34270411,30546301
34312306,30546301
34082805,30546301
33976144,30546301
