author_uid,institution_uid,start_date,end_date
0000-0001-5001-3537,30037,1999-01-13,2006-12-29
0000-0001-5001-3537,3c97100f,2016-11-30,
0000-0001-5001-4804,482f349a,2011-01-01,
0000-0001-5001-4804,482f349a,2011-01-01,
0000-0001-5001-4804,482f349a,2011-01-01,
0000-0001-5001-4804,482f349a,2011-01-01,
0000-0001-5001-4804,482f349a,2011-01-01,
0000-0001-5001-4804,grid.414703.5,1990-01-01,1994-01-01
0000-0001-5001-4804,grid.414703.5,1990-01-01,1994-01-01
0000-0001-5001-4804,grid.414703.5,1990-01-01,1994-01-01
0000-0001-5001-4804,grid.414703.5,1990-01-01,1994-01-01
0000-0001-5001-4804,grid.414703.5,1990-01-01,1994-01-01
0000-0001-5001-4804,grid.5963.9,1995-01-01,2010-01-01
0000-0001-5001-4804,grid.5963.9,1995-01-01,2010-01-01
0000-0001-5001-4804,grid.5963.9,1995-01-01,2010-01-01
0000-0001-5001-4804,grid.5963.9,1995-01-01,2010-01-01
0000-0001-5001-4804,grid.5963.9,1995-01-01,2010-01-01
0000-0001-5001-4804,grid.6936.a,1994-01-01,1995-01-01
0000-0001-5001-4804,grid.6936.a,1994-01-01,1995-01-01
0000-0001-5001-4804,grid.6936.a,1994-01-01,1995-01-01
0000-0001-5001-4804,grid.6936.a,1994-01-01,1995-01-01
0000-0001-5001-4804,grid.6936.a,1994-01-01,1995-01-01
0000-0001-5001-4804,grid.8664.c,1980-01-01,1986-01-01
0000-0001-5001-4804,grid.8664.c,1988-01-01,1989-01-01
0000-0001-5001-4804,grid.8664.c,1980-01-01,1986-01-01
0000-0001-5001-4804,grid.8664.c,1988-01-01,1989-01-01
0000-0001-5001-4804,grid.8664.c,1980-01-01,1986-01-01
0000-0001-5001-4804,grid.8664.c,1988-01-01,1989-01-01
0000-0001-5001-4804,grid.8664.c,1980-01-01,1986-01-01
0000-0001-5001-4804,grid.8664.c,1988-01-01,1989-01-01
0000-0001-5001-4804,grid.8664.c,1980-01-01,1986-01-01
0000-0001-5001-4804,grid.8664.c,1988-01-01,1989-01-01
0000-0001-5004-3330,4eb43127,2019-08-25,
0000-0001-5004-3330,79621155,2015-09-03,2019-05-04
0000-0001-5005-4208,7486,,
0000-0001-5006-2523,16724,2022-01-01,2024-12-31
0000-0001-5006-2523,16733,2017-05-01,2021-04-30
0000-0001-5006-2523,73060,2015-09-01,2016-07-31
0000-0001-5006-2523,83133,2010-09-01,2014-07-31
0000-0001-5009-2263,5925,2019-04-15,2023-12-31
0000-0001-5009-2263,grid.11843.3f,2013-10-01,2018-07-13
0000-0001-5009-2263,grid.7005.2,2012-02-01,2013-07-31
0000-0001-5009-2263,grid.7005.2,2008-10-01,2012-01-14
0000-0001-5009-2263,https://ror.org/04a9tmd77,2024-01-01,
0000-0001-5010-3145,159371,2010-08-01,2013-12-01
0000-0001-5010-3145,26453,2007-09-10,2010-06-15
0000-0001-5010-3145,56663,2015-08-01,
0000-0001-5010-3145,74765,2001-09-10,2006-06-20
0000-0001-5010-3145,89681,2006-08-01,2007-08-01
0000-0001-5010-3145,9377,2013-12-18,2015-06-01
0000-0001-5016-735X,2541,,
0000-0001-5016-735X,http://dx.doi.org/10.13039/501100001782,2015-01-01,2018-12-28
0000-0001-5017-4090,5228,2006-08-01,2010-12-10
0000-0001-5017-4090,5228,2006-08-01,2010-12-10
0000-0001-5017-4090,58d42101,2002-09-01,2006-05-26
0000-0001-5017-4090,58d42101,2002-09-01,2006-05-26
0000-0001-5017-4090,8244,2011-01-15,2017-05-31
0000-0001-5017-4090,8244,2011-01-15,2017-05-31
0000-0001-5017-4090,989801bc,2017-08-01,
0000-0001-5017-4090,989801bc,2017-08-01,
0000-0001-5017-6248,99c23de9,2023-04-01,
0000-0001-5017-6248,https://ror.org/03e5eem51,1995-06-01,
0000-0001-5017-9473,1cfbee2b,2000-09-01,2012-04-30
0000-0001-5017-9473,1cfbee2b,2000-09-01,2012-04-30
0000-0001-5017-9473,1cfbee2b,2000-09-01,2012-04-30
0000-0001-5017-9473,443bc2e1,2012-05-01,
0000-0001-5017-9473,443bc2e1,2012-05-01,
0000-0001-5017-9473,443bc2e1,2012-05-01,
0000-0001-5017-9473,5798,1999-09-01,2000-08-31
0000-0001-5017-9473,5798,1999-09-01,2000-08-31
0000-0001-5017-9473,5798,1999-09-01,2000-08-31
0000-0001-5017-9473,61441,1997-09-01,2001-09-30
0000-0001-5017-9473,61441,1997-09-01,2001-09-30
0000-0001-5017-9473,61441,1997-09-01,2001-09-30
