author_uid,article_uid
0000-0001-5001-3537,18394479
0000-0001-5001-4804,19965717
0000-0001-5001-4804,24108530
0000-0001-5001-4804,25082707
0000-0001-5001-4804,27609885
0000-0001-5001-4804,30389916
0000-0001-5004-3330,35727131
0000-0001-5005-4208,21915690
0000-0001-5006-2523,34975419
0000-0001-5007-4479,20813246
0000-0001-5009-2263,29057906
0000-0001-5010-3145,18394479
0000-0001-5016-735X,37511595
0000-0001-5017-4090,32917810
0000-0001-5017-4090,36995938
0000-0001-5017-6248,19427517
0000-0001-5017-9473,24945786
0000-0001-5017-9473,25941485
0000-0001-5017-9473,31481887
0000-0001-5018-0925,19427517
0000-0001-5019-1843,35868812
0000-0001-5019-4198,17652464
0000-0001-5019-4198,20011218
0000-0001-5019-4198,25018702
0000-0001-5019-4198,25309344
0000-0001-5019-4198,30394011
0000-0001-5019-4198,30923504
0000-0001-5019-4198,35295859
0000-0001-5019-4198,35665897
0000-0001-5020-5838,19427517
0000-0001-5021-1234,37032328
0000-0001-5026-8038,25680098
0000-0001-5026-9006,22103412
0000-0001-5026-9006,26843463
0000-0001-5026-9006,29110301
0000-0001-5026-9006,29346766
0000-0001-5026-9006,30566584
0000-0001-5026-9006,33972100
0000-0001-5027-8770,32848628
0000-0001-5027-8770,33071930
0000-0001-5029-7461,20813246
0000-0001-5031-4591,26898780
0000-0001-5031-4591,38130024
0000-0001-5033-4648,20813246
0000-0001-5033-4824,34013636
0000-0001-5036-9867,34807344
0000-0001-5039-3517,35868812
0000-0001-5039-9839,20813246
0000-0001-5040-6023,37123227
0000-0001-5043-792X,18394479
0000-0001-5045-4527,35868812
0000-0001-5045-5968,18394479
0000-0001-5047-4288,34665977
0000-0001-5048-2923,26904548
0000-0001-5050-2509,32308977
0000-0001-5055-5969,33880074
0000-0001-5057-8300,35217544
0000-0001-5058-0312,23500092
0000-0001-5059-8846,18394479
0000-0001-5062-0038,18394479
0000-0001-5062-3319,33188006
0000-0001-5063-1589,21093462
0000-0001-5063-1589,23420655
0000-0001-5063-1589,24966371
0000-0001-5063-1589,26733246
0000-0001-5063-1589,29403033
0000-0001-5063-1589,32802405
0000-0001-5063-1589,33979609
0000-0001-5063-1589,33994955
0000-0001-5067-1791,20813246
0000-0001-5067-3199,29036270
0000-0001-5072-3678,25426060
0000-0001-5072-3678,30618583
0000-0001-5077-0052,29761270
0000-0001-5077-0052,31320556
0000-0001-5079-0619,28848380
0000-0001-5079-3430,19427517
0000-0001-5080-1015,20813246
0000-0001-5083-4669,28858413
0000-0001-5087-2673,18394479
0000-0001-5094-7321,29036270
0000-0001-5094-7321,30689846
0000-0001-5094-7321,32308977
0000-0001-5096-7621,35868812
0000-0001-5099-0274,19427517
0000-0001-5100-5571,33558601
0000-0001-5100-5571,34841674
0000-0001-5100-5571,37199999
0000-0001-5100-849X,30970335
0000-0001-5101-7097,20813246
0000-0001-5101-8567,28045109
0000-0001-5102-0261,35868812
0000-0001-5102-3294,22365553
0000-0001-5108-5743,28782543
0000-0001-5109-6805,29311827
0000-0001-5111-7004,20813246
0000-0001-5114-5072,35281294
0000-0001-5114-8484,25039563
0000-0001-5115-5668,38605024
0000-0001-5115-936X,29942039
0000-0001-5117-3647,20813246
0000-0001-5119-1028,37629512
0000-0001-5120-3770,30655415
0000-0001-5120-3770,34601704
0000-0001-5120-4546,34616075
0000-0001-5120-5426,30033599
0000-0001-5120-9750,37253949
0000-0001-5122-4061,23312517
0000-0001-5124-2534,20813246
0000-0001-5125-7699,33298927
0000-0001-5126-8566,23353031
0000-0001-5128-4478,21822270
0000-0001-5128-4478,26247865
0000-0001-5132-7642,29311610
0000-0001-5136-075X,33445747
0000-0001-5137-1707,27383911
0000-0001-5137-1707,28581480
0000-0001-5137-1707,29523815
0000-0001-5137-1707,32027647
0000-0001-5137-1707,34893549
0000-0001-5137-1707,PPR80799
0000-0001-5137-5732,28849545
0000-0001-5138-5877,19427517
0000-0001-5139-7405,33967700
0000-0001-5140-8573,33510253
0000-0001-5141-5351,30300700
0000-0001-5141-5351,33749727
0000-0001-5142-6560,35868812
0000-0001-5143-6531,30598527
0000-0001-5144-6932,35859800
0000-0001-5144-6932,36262372
0000-0001-5146-1964,35868812
0000-0001-5147-3260,19427517
0000-0001-5150-2949,20813246
0000-0001-5150-7918,26526972
0000-0001-5150-7918,27627784
0000-0001-5150-7918,29540691
0000-0001-5152-8225,22323713
0000-0001-5152-8225,23360806
0000-0001-5152-8225,24987331
0000-0001-5153-5652,37523567
0000-0001-5157-247X,28469570
0000-0001-5157-247X,30443819
0000-0001-5157-247X,31095552
0000-0001-5158-0031,34283167
0000-0001-5160-4398,37195696
0000-0001-5160-4910,35053355
0000-0001-5161-6831,28356056
0000-0001-5161-6831,30039210
0000-0001-5161-6831,31375678
0000-0001-5164-8227,19427517
0000-0001-5165-8679,18394479
0000-0001-5165-9890,29949575
0000-0001-5166-0736,35264728
0000-0001-5166-0736,35815020
0000-0001-5168-8739,23508132
0000-0001-5172-4736,35868812
0000-0001-5173-1661,30970335
0000-0001-5174-0306,34616067
0000-0001-5174-0306,35802476
0000-0001-5174-0306,37443107
0000-0001-5174-0306,37824607
0000-0001-5174-0306,37824618
0000-0001-5177-6747,37760774
0000-0001-5177-9016,33713641
0000-0001-5187-3942,20843898
0000-0001-5188-3104,35013509
0000-0001-5188-6540,36299900
