uid,name,organization_id,organization_id_source
a20b5b81,Norwegian University of Life Sciences,a20b5b81,sha256
grid.5719.a,University of Stuttgart,grid.5719.a,GRID
5292,The University of Manchester,5292,RINGGOLD
http://dx.doi.org/10.13039/100007586,Aix-Marseille Université,http://dx.doi.org/10.13039/100007586,FUNDREF
c167e3fa,CNRS Marseille,c167e3fa,sha256
http://dx.doi.org/10.13039/100008778,Florida Atlantic University,http://dx.doi.org/10.13039/100008778,FUNDREF
b6caebbe,Ecole Polytechnique de Montreal,b6caebbe,sha256
55c54331,Universite de Montreal,55c54331,sha256
76358879,College Francois-Xavier-Garneau,76358879,sha256
97c10428,"Artificial Intelligence Institute, University of South Carolina",97c10428,sha256
grid.14709.3b,McGill University,grid.14709.3b,GRID
82c1fb6a,Ecole Polytechnique Federale de Lausanne,82c1fb6a,sha256
12049137,McGill University - Douglas Mental Health University Institute,12049137,sha256
efaf8ee9,McGill University - Montreal Neurological Institute,efaf8ee9,sha256
b620b35c,Universite de Montreal - Hopital du Sacre-Cœur,b620b35c,sha256
7b6a3f89,University of Ghent,7b6a3f89,sha256
https://ror.org/0014xm371,Foundation for Research on Information Technologies in Society,https://ror.org/0014xm371,ROR
27218,École Polytechnique Fédérale de Lausanne,27218,RINGGOLD
26660,Universiteit Antwerpen,26660,RINGGOLD
http://dx.doi.org/10.13039/501100004199,Okinawa Institute of Science and Technology Graduate University,http://dx.doi.org/10.13039/501100004199,FUNDREF
adc5011d,IT'IS Foundation,adc5011d,sha256
16722,Universidad Autónoma de Madrid,16722,RINGGOLD
https://ror.org/02s376052,École Polytechnique Fédérale de Lausanne,https://ror.org/02s376052,ROR
grid.5342.0,Ghent University,grid.5342.0,GRID
https://ror.org/02nv7yv05,Forschungszentrum Jülich,https://ror.org/02nv7yv05,ROR
28334,Forschungszentrum Jülich GmbH,28334,RINGGOLD
grid.5734.5,University of Bern,grid.5734.5,GRID
8041,University of Arizona,8041,RINGGOLD
1877,University of Colorado Boulder,1877,RINGGOLD
b4718e52,My Science Agents / NeuroLinx Research Institute ,b4718e52,sha256
1216,Cell Press,1216,RINGGOLD
7120,Salk Institute for Biological Studies,7120,RINGGOLD
2405,Howard Hughes Medical Institute,2405,RINGGOLD
8784,University of California San Diego,8784,RINGGOLD
http://dx.doi.org/10.13039/100011912,Washington University School of Medicine in St. Louis,http://dx.doi.org/10.13039/100011912,FUNDREF
92981,Stanford University Hopkins Marine Station,92981,RINGGOLD
3a3aa46d,University of California,3a3aa46d,sha256
127355,King Abdullah University of Science and Technology (KAUST),127355,RINGGOLD
3124,University of Edinburgh,3124,RINGGOLD
eb7e86cc,Vienna University of Technology,eb7e86cc,sha256
27213,Universite de Lausanne,27213,RINGGOLD
19032,Politecnico di Torino,19032,RINGGOLD
grid.7605.4,University of Turin,grid.7605.4,GRID
grid.7763.5,University of Cagliari,grid.7763.5,GRID
370593,Hamad Bin Khalifa University,370593,RINGGOLD
53309,Center for Advanced Studies Research and Development,53309,RINGGOLD
18dd08a7,Massachusetts Institute of Technology,18dd08a7,sha256
a0ba8109,University of Zürich,a0ba8109,sha256
c0bd6df8,Université de Lausanne,c0bd6df8,sha256
https://ror.org/02jz4aj89,Maastricht University,https://ror.org/02jz4aj89,ROR
grid.5012.6,Maastricht University,grid.5012.6,GRID
2e339436,CERN,2e339436,sha256
27212,Université de Genève,27212,RINGGOLD
4919,University College London,4919,RINGGOLD
f089b25e,University of Zurich,f089b25e,sha256
3163,University of London,3163,RINGGOLD
27037,University of Montpellier,27037,RINGGOLD
0ed791e5,University of Rennes,0ed791e5,sha256
409949,UCL School of Pharmacy ,409949,RINGGOLD
5d910425,"UCL School of Pharmacy, University College London",5d910425,sha256
grid.5326.2,National Research Council,grid.5326.2,GRID
grid.20709.3c,CSC - IT Center for Science (Finland),grid.20709.3c,GRID
5798,Columbia University,5798,RINGGOLD
2462,University of Chicago,2462,RINGGOLD
1190,Vrije Universiteit Amsterdam,1190,RINGGOLD
grid.12380.38,VU Amsterdam,grid.12380.38,GRID
grid.9619.7,The Hebrew University of Jerusalem,grid.9619.7,GRID
d41f214e,University of Cape Town,d41f214e,sha256
16734,Universidad Complutense de Madrid,16734,RINGGOLD
http://dx.doi.org/10.13039/501100003339,Consejo Superior de Investigaciones Científicas,http://dx.doi.org/10.13039/501100003339,FUNDREF
77d0dc08,Université Pierre et Marie Curie,77d0dc08,sha256
https://ror.org/0234wmv40,University of Bayreuth,https://ror.org/0234wmv40,ROR
213956ba,Institut Curie,213956ba,sha256
9b1b8423,Instiut Curie,9b1b8423,sha256
https://ror.org/01cwqze88,National Institutes of Health,https://ror.org/01cwqze88,ROR
c878d1b1,University of Southern Denamrk,c878d1b1,sha256
5ffe73a5,University of Southern Denmark,5ffe73a5,sha256
489067,Ruhr-Universität Bochum Universitätsbibliothek Bochum,489067,RINGGOLD
4321,Københavns Universitet,4321,RINGGOLD
grid.5254.6,University of Copenhagen,grid.5254.6,GRID
grid.4830.f,University of Groningen,grid.4830.f,GRID
https://ror.org/01swzsf04,University of Geneva,https://ror.org/01swzsf04,ROR
5894,New York University,5894,RINGGOLD
87317,University of Pecs - Faculty of Health Sciences,87317,RINGGOLD
3606d2d1,NYU School of Medicine,3606d2d1,sha256
367598,Ecole Polytechnique Federale de Lausanne,367598,RINGGOLD
28132,Universidade Estadual de Campinas,28132,RINGGOLD
53668,"University of Tübingen, Germany",53668,RINGGOLD
